ID,"Lib.groupId","Lib.artifactId","Lib.version","Compile","Debloat","Debloat.Time","Lib.original.test.error","Lib.original.test.failing","Lib.original.test.passing","Lib.debloat.test.error","Lib.debloat.test.failing","Lib.debloat.test.passing","Size.original.jar","Size.debloat.jar","Size.workaround.jar","Nb.class.original","Nb.method.original","Nb.debloated.classes","Nb.preserved.classes","Nb.debloated.methods","Nb.Dependenies","Nb.bloated.dependenies","Nb.dependeny.class","Nb.bloated.dependeny.class","Nb.preserved.dependeny.class","Nb.dependeny.method","Nb.bloated.dependeny.method","Lib.coverage","Lib.dep.coverage","Lib.all.coverage","Client.groupId","Client.artifactId","Client.Compile","Client.Debloat","Client.original.test.error","Client.original.test.failing","Client.original.test.passing","Client.debloat.test.error","Client.debloat.test.failing","Client.debloat.test.passing","Client.coverage","Cover.lib"
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,fr.inria.gforge.spoon.labs,gumtree-spoon-ast-diff,True,True,0,0,138,0,0,138,0.8597972972972973,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,com.wizecommerce,hecuba-client,True,True,0,0,145,0,0,145,0.4760043431053203,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,crushpaper,crushpaper,True,True,0,0,303,0,0,303,0.18192402852568768,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,ESUtility,ESUtility,True,True,0,0,1,0,0,1,0.0,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,jp.co.acroquest.acromusashi,acromusashi-stream,True,True,0,2,117,2,1,116,0.2946656207099431,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,com.github.jreversepro,jreversepro,True,True,0,0,3,0,0,3,0.2705529039523784,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,de.florian-albrecht.tools,mcf2pdf,True,True,0,0,2,0,0,2,0.0018400392541707558,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,com.alexholmes,hdfs-slurper,True,True,0,0,7,0,0,7,0.008852963818321785,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,org.assertj,assertj-assertions-generator,True,True,0,0,131,0,0,131,0.9238095238095239,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,com.amazonaws,aws-dynamodb-mars-json-demo,True,True,0,0,65,0,0,65,0.26078234704112335,False
