Lib,nbDepsUsedClasses,nbDepsBloatedClasses,nbLibUsedClasses,nbLibBloatedClasses,nbLibUsedMethods,nbLibBloatedMethods,nbDepsUsedMethods,nbDepsBloatedMethods
rabbitmq_rabbitmq-java-client_2.7.0,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_2.8.7,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_3.3.1,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_2.8.1,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_3.5.4,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_3.5.3,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_3.6.1,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_2.8.4,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_3.6.3,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_3.0.4,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_3.3.5,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_3.5.1,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_3.4.1,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_3.2.2,0,0,0,0,0,0,0,0
magro_kryo-serializers_0.27,418,1886,48,3,220,18,1830,3353
magro_kryo-serializers_0.43,0,4767,77,4,0,0,0,0
magro_kryo-serializers_0.42,0,4456,72,4,0,0,0,0
magro_kryo-serializers_0.37,60,4468,57,3,115,46,191,171
magro_kryo-serializers_0.26,363,1939,45,3,204,20,1459,2942
magro_kryo-serializers_0.28,60,3930,49,3,109,43,189,170
magro_kryo-serializers_0.45,0,4785,87,4,0,0,0,0
magro_kryo-serializers_0.29,60,3914,49,3,109,43,192,170
magro_kryo-serializers_0.41,0,4456,71,4,0,0,0,0
magro_kryo-serializers_0.38,60,4468,58,3,115,46,191,171
bcourtine_opencsv_2.0,0,0,7,0,42,6,0,0
ryantenney_metrics-spring_3.1.3,18,9171,0,0,0,0,0,0
ryantenney_metrics-spring_3.0.3,18,7378,69,44,0,0,158,75
ryantenney_metrics-spring_3.0.0-RC4,18,7374,70,44,0,0,157,75
ryantenney_metrics-spring_3.0.0-RC1,38,4561,57,38,0,0,196,123
DiUS_java-faker_0.16,0,1002,76,0,0,0,0,0
DiUS_java-faker_0.18,282,720,82,0,596,18,588,1054
DiUS_java-faker_1.0.1,0,1002,93,0,0,0,0,0
DiUS_java-faker_0.7,238,438,18,0,82,28,406,623
DiUS_java-faker_0.4,4,728,12,0,29,0,9,19
DiUS_java-faker_0.13,278,714,49,0,397,14,540,1046
